productId;productName;brand;listprice;Offer_price;categories;link;description;País de Origen;productReference
134750;Huevos Extra Grande Blanco Cuisine & Co 20 un.;Cuisine & Co;6299.0;0.0;['/Lácteos/Huevos/Huevos de Gallina/', '/Lácteos/Huevos/', '/Lácteos/'];https://jumbo.vtexcommercestable.com.br/hue-exg-b-20u-c-y-co/p;"Descubre la frescura y calidad de los huevos extra grandes blancos de Cuisine &amp; Co. Con este pack de 20 unidades, tienes la garantía de ingredientes frescos y nutritivos para tus preparaciones favoritas. ¡Atrévete a cocinar con la mejor calidad!";;1991093
125802;Pan Blanco Xl Ideal 740 g;Ideal;2949.0;0.0;['/Panadería y Pastelería/Panadería envasada/Pan de Molde/', '/Panadería y Pastelería/Panadería envasada/', '/Panadería y Pastelería/'];https://jumbo.vtexcommercestable.com.br/pan-blanco-xl-740g-ideal-1960059/p;;['Chile'];1960059
125769;Pan Blanco Artesano Ideal 550 g;Ideal;2889.0;400.0;['/Panadería y Pastelería/Panadería envasada/Pan de Molde/', '/Panadería y Pastelería/Panadería envasada/', '/Panadería y Pastelería/'];https://jumbo.vtexcommercestable.com.br/pan-blan-arte-550g/p;Formula clean label, mismas características actuales diferenciadoras de Artesano;['Chile'];1960061
123147;Limpiador Crema Cif Bioactive Original 750 g;Cif;2859.0;519.0;['/Limpieza/Baño y Cocina/Limpiadores Baño y Cocina/', '/Limpieza/Baño y Cocina/', '/Limpieza/'];https://jumbo.vtexcommercestable.com.br/cif-cr-bio-multiuso-original-bot-750-g-1956146/p;"CIF Bioactive limpiador en crema es un limpiador cremoso multiuso con micropartículas de origen natural que ofrece una máxima limpieza de las superficies con mínimo esfuerzo. 
<br /><br />
La limpieza de Cif cremoso multiuso es imbatible en muchas superficies, brinda una limpieza profunda y remueve fácilmente las suciedades más difíciles haciendo que tus superficies queden brillantes. 
<br /><br />
Te sorprenderás al ver como Cif Crema puede remover de manera fácil las suciedades más difíciles del baño, la cocina, y hasta objetos tan sorprendentes como un par de zapatillas. Algunas de las superficies de aplicación son: enlozadas, cromadas, de acero inoxidable, esmaltadas, de porcelana, de plástico, de goma, cerámicas, de cuerina, baño, cocina, computador, tabla de cocina, asiento y tabla del inodoro.
<br /><br />
CIF Limpiador en crema deja las superficies de tu casa, incluso las zonas en contacto con comida, increíblemente limpias";;1956146
118575;Toalla de Papel Nova Ultra Doble Hoja 26 m 2 un.;Nova;3099.0;949.0;['/Limpieza/Papeles Hogar/Toallas de Papel/', '/Limpieza/Papeles Hogar/', '/Limpieza/'];https://jumbo.vtexcommercestable.com.br/toalla-papel-nova-ultra-dh-26mt-2un-1939056/p;Toallas de papel ultra absorbentes de doble hoja de la marca Nova, ideales para la limpieza del hogar. Viene en un paquete de 2 rollos de 26 metros de largo cada uno.;;1939056
111293;Carne Molida Magra 3% Grasa 500 g;Cuisine & Co;6890.0;0.0;['/Carnicería/Vacuno/Carne Molida/', '/Carnicería/Vacuno/', '/Carnicería/'];https://jumbo.vtexcommercestable.com.br/carne-molida-magra-3-grasa-400-gr/p;La carne molida magra 3% grasa es un producto que sirve para la preparación de distintos platos con un bajo contenido graso. Es ideal para: realizar crudos, pinos, rellenos, albóndigas, hamburguesas, salteados, entre otros.;;1912535
108483;Jamón Serrano Reserva 100 g;Cuisine & Co;3199.0;0.0;['/Quesos y Fiambres/Fiambrería/Jamón Serrano y Otros/', '/Quesos y Fiambres/Fiambrería/', '/Quesos y Fiambres/'];https://jumbo.vtexcommercestable.com.br/jamon-serrano-reserva-100-g/p;"<p>Sabroso jamón serrano de Cuisine &amp; Co, un producto de origen español con una carne de cerdo madurada por más de 12 meses. Contiene 100 g.</p>";['España'];1899350
105036;Arroz Grado 1 Grano Largo y Ancho 1 kg;Cuisine & Co;1990.0;500.0;['/Despensa/Arroz y Legumbres/Arroz/', '/Despensa/Arroz y Legumbres/', '/Despensa/'];https://jumbo.vtexcommercestable.com.br/arroz-cuisine-and-co-g1-grano-largo-ancho1kg-1888808/p;Elige la calidad con nuestro Arroz Grado 1 de Grano Largo y Ancho en presentación de 1 kg. La base perfecta para tus platillos favoritos.;['Chile'];1888808
94568;Leche Descremada 1 L;Cuisine & Co;1059.0;0.0;['/Lácteos/Leches/Leche Líquida/', '/Lácteos/Leches/', '/Lácteos/'];https://jumbo.vtexcommercestable.com.br/leche-descremada-1-l-cuisine-and-co-1858323/p;Leche descremada de alta calidad, baja en grasa y llena de nutrientes. Una opción ligera para tu dieta diaria.;['Chile'];1858323
92657;Toalla de Papel Nova Clásica 12 m 3 un.;Nova;2199.0;0.0;['/Limpieza/Papeles Hogar/Toallas de Papel/', '/Limpieza/Papeles Hogar/', '/Limpieza/'];https://jumbo.vtexcommercestable.com.br/toalla-papel-clasica-12-m-3-un/p;Ideal para cocinas, limpieza de superficies. Producto más absorbente, resistente y con un mejor desempeño, ya que poseen cámaras de aire que atrapan la humedad rápidamente facilitando el proceso de secado de manos. En consecuencia, el usuario disminuye el consumo de producto, obteniendo un mejor costo en uso y finalmente un mayor ahorro.;;1856075
